# dc:title,教育部國語辭典簡編本詞庫,
# dc:rights,中華民國教育部（Ministry of Education, R.O.C.）。《國語辭典簡編本》（版本編號：2014_20251229 ）網址： http://dict.concised.moe.edu.tw /,
# dc:license,CC-BY-ND-3.0-TW,
# dc:identifier,2025.12.29,
霸權,1,ㄅㄚˋ ㄑㄩㄢˊ
霸占,1,ㄅㄚˋ ㄓㄢˋ
霸主,1,ㄅㄚˋ ㄓㄨˇ
霸業,1,ㄅㄚˋ ㄧㄝˋ
霸王,1,ㄅㄚˋ ㄨㄤˊ
壩,1,ㄅㄚˋ
吧,1,ㄅㄚ˙
罷,1,ㄅㄚ˙
波,1,ㄅㄛ
波霸,1,ㄅㄛ ㄅㄚˋ
波動,1,ㄅㄛ ㄉㄨㄥˋ
波濤,1,ㄅㄛ ㄊㄠˊ
波濤洶湧,1,ㄅㄛ ㄊㄠˊ ㄒㄩㄥ ㄩㄥˇ
波瀾,1,ㄅㄛ ㄌㄢˊ
波瀾壯闊,1,ㄅㄛ ㄌㄢˊ ㄓㄨㄤˋ ㄎㄨㄛˋ
波浪,1,ㄅㄛ ㄌㄤˋ
波羅,1,ㄅㄛ ㄌㄨㄛˊ
波羅蜜,1,ㄅㄛ ㄌㄨㄛˊ ㄇㄧˋ
波光,1,ㄅㄛ ㄍㄨㄤ
波光蕩漾,1,ㄅㄛ ㄍㄨㄤ ㄉㄤˋ ㄧㄤˋ
波光粼粼,1,ㄅㄛ ㄍㄨㄤ ㄌㄧㄣˊ ㄌㄧㄣˊ
波及,1,ㄅㄛ ㄐㄧˊ
波折,1,ㄅㄛ ㄓㄜˊ
波長,1,ㄅㄛ ㄔㄤˊ
波紋,1,ㄅㄛ ㄨㄣˊ
玻,1,ㄅㄛ
玻璃,1,ㄅㄛ ㄌㄧˊ
玻璃纖維,1,ㄅㄛ ㄌㄧˊ ㄒㄧㄢ ㄨㄟˊ
玻璃紙,1,ㄅㄛ ㄌㄧˊ ㄓˇ
玻璃絲襪,1,ㄅㄛ ㄌㄧˊ ㄙ ㄨㄚˋ
玻璃帷幕,1,ㄅㄛ ㄌㄧˊ ㄨㄟˊ ㄇㄨˋ
菠,1,ㄅㄛ
菠菜,1,ㄅㄛ ㄘㄞˋ
砵,1,ㄅㄛ
砵酒,1,ㄅㄛ ㄐㄧㄡˇ
缽,1,ㄅㄛ
般,1,ㄅㄛ
般若,1,ㄅㄛ ㄖㄜˇ
剝,1,ㄅㄛ
剝皮,1,ㄅㄛ ㄆㄧˊ
剝奪,1,ㄅㄛ ㄉㄨㄛˊ
剝落,1,ㄅㄛ ㄌㄨㄛˋ
剝削,1,ㄅㄛ ㄒㄩㄝˋ
餑,1,ㄅㄛ
餑餑,1,ㄅㄛ ㄅㄛ
餑餑,1,ㄅㄛ ㄅㄛ˙
撥,1,ㄅㄛ
撥發,1,ㄅㄛ ㄈㄚ
撥付,1,ㄅㄛ ㄈㄨˋ
撥動,1,ㄅㄛ ㄉㄨㄥˋ
撥弄,1,ㄅㄛ ㄋㄨㄥˋ
撥亂反正,1,ㄅㄛ ㄌㄨㄢˋ ㄈㄢˇ ㄓㄥˋ
撥開,1,ㄅㄛ ㄎㄞ
撥款,1,ㄅㄛ ㄎㄨㄢˇ
撥交,1,ㄅㄛ ㄐㄧㄠ
撥出,1,ㄅㄛ ㄔㄨ
撥冗,1,ㄅㄛ ㄖㄨㄥˇ
撥雲見日,1,ㄅㄛ ㄩㄣˊ ㄐㄧㄢˋ ㄖˋ
撥用,1,ㄅㄛ ㄩㄥˋ
百,1,ㄅㄛˊ
伯,1,ㄅㄛˊ
伯伯,1,ㄅㄛˊ ㄅㄛ˙
伯母,1,ㄅㄛˊ ㄇㄨˇ
伯父,1,ㄅㄛˊ ㄈㄨˋ
伯樂,1,ㄅㄛˊ ㄌㄜˋ
伯勞,1,ㄅㄛˊ ㄌㄠˊ
伯仲,1,ㄅㄛˊ ㄓㄨㄥˋ
伯仲之間,1,ㄅㄛˊ ㄓㄨㄥˋ ㄓ ㄐㄧㄢ
泊,1,ㄅㄛˊ
泊車,1,ㄅㄛˊ ㄔㄜ
泊船,1,ㄅㄛˊ ㄔㄨㄢˊ
帛,1,ㄅㄛˊ
帛書,1,ㄅㄛˊ ㄕㄨ
柏,1,ㄅㄛˊ
柏金森氏病,1,ㄅㄛˊ ㄐㄧㄣ ㄙㄣ ㄕˋ ㄅㄧㄥˋ
柏樹,1,ㄅㄛˊ ㄕㄨˋ
柏油,1,ㄅㄛˊ ㄧㄡˊ
舶,1,ㄅㄛˊ
舶來品,1,ㄅㄛˊ ㄌㄞˊ ㄆㄧㄣˇ
鉑,1,ㄅㄛˊ
箔,1,ㄅㄛˊ
勃,1,ㄅㄛˊ
勃勃,1,ㄅㄛˊ ㄅㄛˊ
勃發,1,ㄅㄛˊ ㄈㄚ
勃起,1,ㄅㄛˊ ㄑㄧˇ
勃谿,1,ㄅㄛˊ ㄒㄧ
勃興,1,ㄅㄛˊ ㄒㄧㄥ
勃然,1,ㄅㄛˊ ㄖㄢˊ
悖,1,ㄅㄛˊ
脖,1,ㄅㄛˊ
脖子,1,ㄅㄛˊ ㄗ˙
渤,1,ㄅㄛˊ
博,1,ㄅㄛˊ
博大精深,1,ㄅㄛˊ ㄉㄚˋ ㄐㄧㄥ ㄕㄣ
博得,1,ㄅㄛˊ ㄉㄜˊ
博覽,1,ㄅㄛˊ ㄌㄢˇ
博覽會,1,ㄅㄛˊ ㄌㄢˇ ㄏㄨㄟˋ
博古通今,1,ㄅㄛˊ ㄍㄨˇ ㄊㄨㄥ ㄐㄧㄣ
博取,1,ㄅㄛˊ ㄑㄩˇ
博學,1,ㄅㄛˊ ㄒㄩㄝˊ
博施濟眾,1,ㄅㄛˊ ㄕ ㄐㄧˋ ㄓㄨㄥˋ
博士,1,ㄅㄛˊ ㄕˋ
博士學位,1,ㄅㄛˊ ㄕˋ ㄒㄩㄝˊ ㄨㄟˋ
博愛,1,ㄅㄛˊ ㄞˋ
博雅,1,ㄅㄛˊ ㄧㄚˇ
博物,1,ㄅㄛˊ ㄨˋ
博物館,1,ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ
博聞強記,1,ㄅㄛˊ ㄨㄣˊ ㄑㄧㄤˊ ㄐㄧˋ
搏,1,ㄅㄛˊ
搏命,1,ㄅㄛˊ ㄇㄧㄥˋ
搏鬥,1,ㄅㄛˊ ㄉㄡˋ
搏擊,1,ㄅㄛˊ ㄐㄧˊ
膊,1,ㄅㄛˊ
薄,1,ㄅㄛˊ
薄片,1,ㄅㄛˊ ㄆㄧㄢˋ
薄膜,1,ㄅㄛˊ ㄇㄛˊ
薄命,1,ㄅㄛˊ ㄇㄧㄥˋ
薄暮,1,ㄅㄛˊ ㄇㄨˋ
薄利多銷,1,ㄅㄛˊ ㄌㄧˋ ㄉㄨㄛ ㄒㄧㄠ
薄情,1,ㄅㄛˊ ㄑㄧㄥˊ
